Año  ,Trimestre ,Ingresos     ,Accesos por cada 100 hogares ,Accesos por cada 100 hab ,ADSL      ,Cablemodem ,Fibra óptica ,Wireless ,Otros accesos ,Total accesos ,Hasta 512 kbps ,Entre 512 Kbps y 1 Mbps ,Entre 1 Mbps y 6 Mbps ,Entre 6 Mbps y 10 Mbps ,Entre 10 Mbps y 20 Mbps ,Entre 20 Mbps y 30 Mbps ,Más de 30 Mbps ,Otras velocidades ,Total velocidades
2019 ,        1 , 20207413.77 ,                       62.48 ,                   19.31 ,3132789.0 , 4435439.0 ,    637099.0 , 276.419 ,      166.389 ,    8648135.0 ,       166.573 ,                195.706 ,            3428759.0 ,              882836.0 ,              1464748.0 ,              1244215.0 ,     1138728.0 ,          126.57  ,        8648135.0
2019 ,        2 , 20743117.69 ,                       64.53 ,                   19.96 ,2990457.0 , 4635575.0 ,    760794.0 , 308.027 ,      265.328 ,    8960181.0 ,       202.79  ,                 95.98  ,            3444458.0 ,              871142.0 ,              1169632.0 ,              1250366.0 ,     1677830.0 ,          247.983 ,        8960181.0
2019 ,        3 , 21652748.44 ,                       65.79 ,                   20.36 ,2909805.0 , 4800091.0 ,    852221.0 , 338.241 ,      264.326 ,    9164684.0 ,       241.713 ,                 80.599 ,            3309137.0 ,             1026859.0 ,               806466.0 ,              1141545.0 ,     2314898.0 ,          243.467 ,        9164684.0
2019 ,        4 , 24169250.7  ,                       62.92 ,                   19.49 ,2414575.0 , 4883869.0 ,    941295.0 , 340.144 ,      213.298 ,    8793181.0 ,        38.272 ,                 28.98  ,            2792307.0 ,             1046128.0 ,               851619.0 ,              1004083.0 ,     2830746.0 ,          201.046 ,        8793181.0
2020 ,        1 , 29946216.45 ,                       62.86 ,                   19.48 ,2299457.0 , 4903674.0 ,   1047817.0 , 352.333 ,      209.145 ,    8812426.0 ,        42.55  ,                 56.17  ,            2649819.0 ,             1022014.0 ,               814470.0 ,               532309.0 ,     3500882.0 ,          194.212 ,        8812426.0
2020 ,        2 , 32102475.99 ,                       64.21 ,                   19.92 ,2295533.0 , 5005115.0 ,   1106725.0 , 376.667 ,      247.016 ,    9031056.0 ,        41.038 ,                 48.69  ,            2651502.0 ,             1053107.0 ,               807775.0 ,               523437.0 ,     3711499.0 ,          194.008 ,        9031056.0
2020 ,        3 , 31997444.53 ,                       66.31 ,                   20.59 ,2263889.0 , 5259351.0 ,   1170879.0 , 413.259 ,      248.821 ,    9356199.0 ,        41.038 ,                 44.005 ,            2637984.0 ,             1040017.0 ,               799350.0 ,               538567.0 ,     4053461.0 ,          201.777 ,        9356199.0
2020 ,        4 , 33539702.72 ,                       67.62 ,                   21.01 ,2213949.0 , 5371824.0 ,   1311199.0 , 421.554 ,      253.036 ,    9571562.0 ,        39.51  ,                 42.185 ,            2622638.0 ,             1073875.0 ,               786595.0 ,               582420.0 ,     4239237.0 ,          185.102 ,        9571562.0
2021 ,        1 , 36676371.36 ,                       67.95 ,                   21.13 ,2175211.0 , 5424782.0 ,   1362976.0 , 434.548 ,      250.455 ,    9647972.0 ,        39.487 ,                 41.674 ,            2593477.0 ,             1072722.0 ,               737930.0 ,               595920.0 ,     4379965.0 ,          186.797 ,        9647972.0
2021 ,        2 , 38239666.63 ,                       69.24 ,                   21.55 ,2018587.0 , 5641731.0 ,   1472246.0 , 476.968 ,      253.552 ,    9863084.0 ,        40.172 ,                 42.024 ,            2531271.0 ,             1080279.0 ,               693277.0 ,               647401.0 ,     4661291.0 ,          167.369 ,        9863084.0
2021 ,        3 , 42999944.29 ,                       70.58 ,                   21.98 ,1950631.0 , 5826257.0 ,   1566048.0 , 492.415 ,      250.19  ,   10085541.0 ,        40.174 ,                 41.437 ,            2550229.0 ,             1095772.0 ,               710122.0 ,               536364.0 ,     4948174.0 ,          163.269 ,       10085541.0
2021 ,        4 , 45467887.17 ,                       73.18 ,                   22.81 ,1657615.0 , 5984240.0 ,   2072236.0 , 523.107 ,      252.596 ,   10489794.0 ,        41.262 ,                 28.521 ,            1413208.0 ,             1245333.0 ,               976539.0 ,               558358.0 ,     6032322.0 ,          194.251 ,       10489794.0
2022 ,        1 , 55219313.01 ,                       73.88 ,                   23.05 ,1533240.0 , 6073426.0 ,   2219533.0 , 545.814 ,      251.996 ,   10624009.0 ,        34.89  ,                104.84  ,            1263273.0 ,             1209148.0 ,               967508.0 ,               509830.0 ,     6336187.0 ,          198.333 ,       10624009.0
2022 ,        2 , 60419500.62 ,                       75.97 ,                   23.72 ,1468333.0 , 5979214.0 ,   2723285.0 , 556.243 ,      231.609 ,   10958684.0 ,        33.667 ,                 99.498 ,            1193090.0 ,             1197030.0 ,               856562.0 ,               485321.0 ,     6741922.0 ,          351.594 ,       10958684.0
2022 ,        3 , 64086784.33 ,                       76.64 ,                   23.95 ,1395277.0 , 6031970.0 ,   2871541.0 , 557.11  ,      235.23  ,   11091128.0 ,        33.013 ,                 96.727 ,            1161370.0 ,             1151906.0 ,               823505.0 ,               479822.0 ,     6995750.0 ,          349.035 ,       11091128.0
2022 ,        4 , 72443482.99 ,                       77.21 ,                   24.15 ,1315373.0 , 6037457.0 ,   3060575.0 , 572.969 ,      221.74  ,   11208114.0 ,        31.981 ,                 85.668 ,            1075272.0 ,             1109421.0 ,               765015.0 ,               335573.0 ,     7410902.0 ,          394.282 ,       11208114.0
2023 ,        1 ,104134992.81 ,                       77.2  ,                   24.17 ,1204417.0 , 6002582.0 ,   3243411.0 , 576.647 ,      214.838 ,   11241895.0 ,        31.437 ,                 82.048 ,            1001553.0 ,             1060321.0 ,               729194.0 ,               357769.0 ,     7564819.0 ,          414.754 ,       11241895.0
2023 ,        2 ,118060280.28 ,                       77.02 ,                   24.14 ,1006509.0 , 5997149.0 ,   3463988.0 , 581.823 ,      202.428 ,   11251897.0 ,        30.827 ,                 79.405 ,             963510.0 ,             1028250.0 ,               734125.0 ,               364730.0 ,     7775095.0 ,          275.955 ,       11251897.0
2023 ,        3 ,133106593.41 ,                       77.84 ,                   24.41 , 897895.0 , 6018832.0 ,   3708718.0 , 581.436 ,      200.027 ,   11406908.0 ,        30.274 ,                 80.609 ,             945608.0 ,              998725.0 ,               720084.0 ,               350918.0 ,     8003269.0 ,          277.421 ,       11406908.0
2023 ,        4 ,167376014.8  ,                       78.56 ,                   24.66 , 836390.0 , 6022532.0 ,   3908183.0 , 585.76  ,      194.796 ,   11547661.0 ,        29.708 ,                 71.742 ,             900253.0 ,              978108.0 ,               697232.0 ,               350290.0 ,     8224736.0 ,          295.592 ,       11547661.0
2024 ,        1 ,280419124.08 ,                       78.89 ,                   24.79 , 774475.0 , 5986957.0 ,   4015101.0 , 598.682 ,      257.941 ,   11633156.0 ,        28.801 ,                 69.355 ,             866152.0 ,              950930.0 ,               672155.0 ,               353896.0 ,     8363694.0 ,          328.173 ,       11633156.0
